YearBuilt,BuiltFAR,ResidFAR,CommFAR,FacilFAR
1899,2.12,4,0,4
1910,4.43,4,0,4
1910,4.86,7.52,2,7.5
1910,2.72,4,0,4
1928,13.29,4,0,4
1910,4.31,10,3.4,10
0,0,10,0,10
1910,2.64,7.52,2,7.5
1910,7.96,10,0,10
1910,3.16,4,0,4
1910,3.07,4,0,4
1910,3.14,4,0,4
1910,3.95,7.52,2,7.5
1910,3.01,4,0,4
1910,3.23,4,0,4
1910,3.57,7.52,2,7.5
1899,3.82,10,0,10
1910,3.75,6.02,0,6.5
1910,3.45,4,0,4
1912,6.28,4,0,4
1901,2.56,4,0,4
1901,3.03,4,0,4
1910,2.72,4,0,4
1910,3.89,7.52,2,7.5
1910,4.35,7.52,2,7.5
1910,3.49,4,0,4
1910,3.37,6.02,0,6.5
1910,4.07,10,10,10
1910,3.33,4,0,4
1910,4.97,10,10,10
0,0,0,0,0
1910,2.95,6.02,0,6.5
1918,3.49,10,3.4,10
1910,3.66,10,10,10
1910,5.21,10,3.4,10
1910,4.58,4,0,4
1910,2.5,4,0,4
1910,3.33,4,0,4
1910,3.75,6.02,0,6.5
1910,3.32,4,0,4
1910,3.27,4,0,4
1910,3.1,4,0,4
1912,10.31,4,0,4
1910,3.88,4,0,4
1910,3.76,7.52,2,7.5
1910,3.29,6.02,0,6.5
1910,4.98,10,10,10
1910,3.13,4,0,4
1910,3.15,4,0,4
1910,3.31,4,0,4
1910,3.7,10,10,10
1910,3.4,4,0,4
1917,10.76,10,0,10
1902,9.82,4,0,4
1901,2.62,4,0,4
1910,2.99,7.52,2,7.5
1929,18.65,10,0,10
1910,3,4,0,4
1910,3.04,4,0,4
1910,2.97,4,0,4
1899,2.35,4,0,4
1901,2.56,4,0,4
1910,2.91,4,0,4
1910,3.05,4,0,4
1910,3.45,4,0,4
1910,3.3,4,0,4
1910,3.44,4,0,4
1924,10.45,7.52,2,7.5
1927,11.57,10,0,10
1918,10.28,4,0,4
1910,2.51,7.52,2,7.5
1926,12.5,10,0,10
1910,3,4,0,4
1910,3,4,0,4
1910,4.66,7.52,2,7.5
1910,3.09,4,0,4
1910,3.3,4,0,4
1901,2.47,4,0,4
1926,3.84,10,3.4,10
1910,3.28,4,0,4
1910,4.21,4,0,4
1910,4.76,7.52,2,7.5
1910,3.24,4,0,4
1913,10.7,7.52,2,7.5
1910,2.96,4,0,4
1910,2.68,4,0,4
1910,3.26,4,0,4
1910,3.57,4,0,4
1986,6.73,10,3.4,10
1910,3.75,6.02,0,6.5
1910,3.32,4,0,4
1901,2.29,4,0,4
1910,3.39,4,0,4
1928,14.22,10,3.4,10
1910,3.56,4,0,4
1910,4.04,4,0,4
1910,2.98,4,0,4
1910,4.84,7.52,2,7.5
1910,3,4,0,4
1910,3.06,7.52,2,7.5
2004,10.83,10,0,10
1910,4.75,7.52,2,7.5
0,0,4,0,4
1910,4.03,6.02,0,6.5
1910,2.66,10,3.4,10
1910,3.4,7.52,2,7.5
1910,3.18,6.02,0,6.5
1910,3.53,4,0,4
1910,3.5,4,0,4
1899,3.16,4,0,4
0,0,0,0,0
1910,2.88,7.52,2,7.5
1910,3,4,0,4
1910,4.31,10,3.4,10
1910,3.06,7.52,2,7.5
1942,5.49,10,0,10
1910,3.7,4,0,4
1910,3.12,4,0,4
1910,3.29,4,0,4
1910,3.73,7.52,2,7.5
1910,4.66,10,10,10
1910,3.8,6.02,0,6.5
1931,3.07,10,3.4,10
1910,3.28,4,0,4
1910,3.07,4,0,4
1929,11.08,4,0,4
1910,3.09,4,0,4
1924,11.23,4,0,4
1910,3.87,10,10,10
1910,2.35,4,0,4
1910,3.53,10,3.4,10
1926,10.38,4,0,4
1910,3.61,10,3.4,10
1910,2.37,4,0,4
1901,2.32,4,0,4
1901,2.67,4,0,4
1910,1.62,4,0,4
1910,2.87,4,0,4
1926,1.72,10,3.4,10
1913,9.45,10,3.4,10
1910,3.8,4,0,4
1910,2.31,4,0,4
1910,3.19,4,0,4
1910,2.26,4,0,4
1910,3.62,10,3.4,10
1913,9.15,10,0,10
1910,2.25,4,0,4
1910,3.31,4,0,4
1910,2.94,4,0,4
1910,2.99,4,0,4
1910,2.46,7.52,2,7.5
1910,3.31,4,0,4
1926,3.04,10,3.4,10
1910,2.28,4,0,4
1910,3.46,4,0,4
1910,4.07,10,3.4,10
2006,11.35,6.02,0,6.5
1910,4.61,10,3.4,10
1910,2.82,4,0,4
1910,2.29,4,0,4
1928,5.65,10,3.4,10
1910,3.76,4,0,4
1910,2.47,4,0,4
1910,3.23,4,0,4
1910,2.96,7.52,2,7.5
1910,3.25,10,3.4,10
1910,2.85,4,0,4
1910,2.98,4,0,4
1910,3.2,4,0,4
1910,5.97,10,3.4,10
1910,3.12,10,3.4,10
1910,3.26,4,0,4
1926,7.08,4,0,4
1910,2.17,4,0,4
1957,2.68,10,3.4,10
1910,3.24,4,0,4
1910,2.86,4,0,4
1910,3.23,4,0,4
1910,3.08,4,0,4
1910,3.56,10,3.4,10
1910,2.86,7.52,2,7.5
1902,9.74,10,3.4,10
1910,3.09,4,0,4
1924,9.87,10,3.4,10
1910,2.69,7.52,2,7.5
1910,4.29,4,0,4
1910,2.96,4,0,4
1910,2.41,4,0,4
1926,16.87,10,3.4,10
2008,14.04,10,3.4,10
1910,2.83,4,0,4
1910,3.07,4,0,4
1910,2.16,4,0,4
1910,4.95,10,3.4,10
1910,2.95,4,0,4
1910,2.94,4,0,4
1918,10.49,10,0,10
1910,3.46,10,0,10
1910,2.92,7.52,2,7.5
1901,3.08,4,0,4
1910,2.64,4,0,4
1910,2.69,4,0,4
1910,3.07,4,0,4
1910,4.47,4,0,4
1910,2.54,4,0,4
1910,3.42,4,0,4
1910,2.48,7.52,2,7.5
1910,2.47,7.52,2,7.5
1910,3.96,7.52,2,7.5
1910,2.75,4,0,4
1910,3.25,4,0,4
1910,2.62,4,0,4
1910,3.21,4,0,4
1938,13.97,10,3.4,10
1910,4.5,7.52,2,7.5
1962,7.09,6.02,0,6.5
1910,2.54,4,0,4
1904,10.27,4,0,4
1963,10.79,4,0,4
1910,3.37,4,0,4
1910,2.63,4,0,4
1910,3.51,4,0,4
1963,4.6,10,0,10
1910,2.46,4,0,4
1910,2.46,4,0,4
1910,2.97,4,0,4
1910,2.47,4,0,4
1906,9.1,10,3.4,10
1910,3.4,10,0,10
1910,2.69,4,0,4
1910,2.47,4,0,4
1910,3.47,4,0,4
1910,3.04,4,0,4
1910,2.82,4,0,4
1910,3.38,4,0,4
1910,3.41,4,0,4
1910,2.94,4,0,4
1910,2.54,4,0,4
1901,2.63,4,0,4
1910,2.54,4,0,4
1910,3.22,4,0,4
1910,2.94,4,0,4
1911,9.82,10,3.4,10
1910,2.45,4,0,4
1910,2.85,4,0,4
1910,3.37,4,0,4
1910,3.2,4,0,4
1927,13.12,4,0,4
1910,3.8,4,0,4
1910,2.53,4,0,4
1899,2.1,4,0,4
1910,2.48,4,0,4
1938,1.96,10,3.4,10
1910,2.99,7.52,2,7.5
1910,3.12,4,0,4
1910,2.77,4,0,4
1899,2.71,4,0,4
1910,3.78,4,0,4
1910,3.06,4,0,4
1901,2.62,4,0,4
1910,2.79,4,0,4
1910,4.28,4,0,4
1910,3.28,4,0,4
1910,3.02,4,0,4
1906,9.29,10,3.4,10
1910,3.49,4,0,4
1910,9.36,10,0,10
1910,3.63,4,0,4
1954,2.94,10,3.4,10
1917,10.65,4,0,4
1910,3.16,4,0,4
1910,4.22,4,0,4
1915,10.54,10,3.4,10
1915,3.81,10,10,10
1926,12.18,10,3.4,10
1932,1.94,10,3.4,10
1922,6.11,10,3.4,10
1915,3.15,10,3.4,10
1915,2.27,4,0,4
1983,3.43,10,3.4,10
1915,3.67,10,0,10
1915,3.15,10,0,10
1915,9.63,4,0,4
1915,3.85,10,3.4,10
1915,3.26,4,0,4
1920,5.98,6.02,6,6.5
1920,3.94,10,10,10
1920,1.04,10,0,10
1920,3.14,4,0,4
1920,3.18,4,0,4
1920,3.73,4,0,4
1920,2.88,4,0,4
1920,3.43,4,0,4
1920,3.03,7.52,2,7.5
1920,7.11,4,0,4
1920,5.46,10,0,10
1920,3.51,10,3.4,10
1920,5.18,10,3.4,10
1920,5.49,4,0,4
1920,7.88,6.02,0,6.5
1920,3.45,4,0,4
1920,3.04,4,0,4
1920,5.28,4,0,4
1920,3.62,4,0,4
1920,7.52,4,0,4
1920,7.24,7.52,2,7.5
1920,4.71,10,0,10
1920,3.69,7.52,2,7.5
1920,7.22,4,0,4
1920,4.56,7.52,2,7.5
1920,6.57,4,0,4
1920,5.29,10,3.4,10
1920,2.52,4,0,4
1920,3.09,4,0,4
1920,4.48,10,0,10
1920,7.23,4,0,4
1920,3.2,4,0,4
1920,2.98,10,3.4,10
1920,5.8,4,0,4
1920,4.93,4,0,4
1968,14.96,10,0,10
1920,3.84,10,3.4,10
1920,2.33,4,0,4
1926,3.37,4,0,4
1920,2.04,4,0,4
1920,3.53,4,0,4
1926,3.73,4,0,4
1920,2.99,4,0,4
1929,4.05,4,0,4
1920,3.32,4,0,4
1920,2.24,4,0,4
1920,2.2,4,0,4
0,0,4,0,4
1920,3.87,10,3.4,10
1920,2.18,4,0,4
1941,7.04,4,0,4
1920,2.97,4,0,4
1920,2.97,4,0,4
1920,3.74,10,3.4,10
1920,3.79,10,0,10
1920,4.23,4,0,4
1920,4.27,4,0,4
1926,1.41,10,0,10
1920,6.83,7.52,2,7.5
1920,5.5,7.52,2,7.5
1920,3.65,4,0,4
1920,3.72,4,0,4
1920,5.01,7.52,2,7.5
1964,12.9,4,0,4
1920,3.06,4,0,4
1920,9.63,10,0,10
1920,3.23,4,0,4
1925,8.04,4,0,4
1925,6.63,4,0,4
1917,10.08,4,0,4
1925,5.93,10,0,10
1925,11.18,10,0,10
1926,7.23,4,0,4
1925,5,10,3.4,10
1906,10.63,10,0,10
1925,12.46,10,0,10
1925,15.14,4,0,4
1925,8.2,10,3.4,10
1925,5.4,10,3.4,10
1925,11.24,10,0,10
1925,12.51,10,3.4,10
1925,2.73,10,0,10
1925,4.46,7.52,2,7.5
1897,1.8,10,0,10
1916,10.62,4,0,4
1925,12.53,10,0,10
1901,3.22,4,0,4
1930,12.03,10,10,10
1930,9.92,10,0,10
1927,17.51,10,0,10
1930,2.48,10,10,10
1923,6.69,4,0,4
1930,3.83,10,10,10
1930,1.1,6.02,6,6.5
1930,13.9,10,0,10
1930,2.04,4,0,4
1930,2.04,4,0,4
1930,4.29,10,0,10
1930,3.04,7.52,2,7.5
1930,8.17,6.02,0,6.5
1902,3.79,4,0,4
1924,11.55,10,0,10
1930,3.68,4,0,4
1930,7.47,10,10,10
1930,1.82,10,10,10
1930,6.76,10,3.4,10
1930,3.66,10,3.4,10
1926,3,4,0,4
1930,9.55,4,0,4
1927,3.79,10,0,10
1930,3.19,10,3.4,10
1930,4.47,4,0,4
1930,13.92,10,0,10
1928,7.27,4,0,4
1930,10.05,10,0,10
1930,1.61,4,0,4
1936,14.56,10,0,10
1902,3.71,4,0,4
1940,0.99,7.52,2,7.5
1940,3.67,4,0,4
1928,9.8,10,0,10
1940,3.15,4,0,4
1902,3.57,4,0,4
1940,2.76,4,0,4
1940,3.33,10,3.4,10
1945,0.67,20,20,20
1950,5.27,10,10,10
1950,3.05,4,0,4
1950,3.07,7.52,2,7.5
1901,3.98,4,0,4
1950,1.24,4,0,4
1950,8.94,10,0,10
1929,10.48,10,0,10
1955,4.11,10,10,10
1960,16.63,10,15,15
1931,13.43,10,0,10
1960,2.4,4,0,4
1965,6.12,10,10,10
1965,1.8,6.02,0,6.5
1965,5.88,6.02,0,6.5
1965,9.48,10,3.4,10
1965,1.95,6.02,0,6.5
1965,4.67,4,0,4
1970,16.19,10,10,10
1926,13.1,4,0,4
1975,12.23,10,10,10
1975,3.95,4,0,4
1981,15.41,10,10,10
1981,18.92,10,10,10
1985,7.28,10,10,10
1985,11,10,10,10
1991,11.96,10,10,10
1991,8.88,10,10,10
1995,15.69,10,10,10
1926,3.6,10,0,10
2000,13.41,10,0,10
1902,3.31,4,0,4
1902,3.31,4,0,4
1901,3.06,4,0,4
1929,13.03,10,0,10
2005,12.02,10,10,10
2005,19.37,10,10,10
2010,0,10,10,10
2014,11.09,6.02,0,6.5
